car_no,speed
1,28
2,36
3,33
4,31
5,34
6,35
7,28
8,31
9,30
10,33
11,31
12,31
13,31
14,26
15,33
16,27
17,28
18,33
19,30
20,29
21,30
22,27
23,29
24,29
25,33
26,28
27,31
28,30
29,27
30,29
31,29
32,31
33,31
34,29
35,30
36,29
37,27
38,26
39,26
40,29
41,31
42,33
43,31
44,29
45,28
46,31
47,33
48,31
49,27
50,28
51,28
52,28
53,31
54,29
55,27
56,30
57,30
58,26
59,33
60,31
61,31
62,29
63,29
64,31
65,28
66,26
67,31
68,28
69,34
70,35
71,27
72,28
73,28
74,31
75,31
76,30
77,32
78,31
79,27
80,31
81,28
82,32
83,31
84,31
85,31
86,28
87,27
88,27
89,33
90,35
91,29
92,28
93,30
94,27
95,29
96,28
97,29
98,31
99,30
100,29
101,29
102,28
103,28
104,33
105,28
106,31
107,28
108,28
109,28
110,27
111,28
112,34
113,29
114,27
115,31
116,31
117,30
118,29
119,26
120,30
121,30
122,33
123,31
124,27
125,26
126,27
127,31
128,31
129,29
130,32
131,29
132,29
133,30
134,30
135,29
136,30
137,27
138,28
139,32
140,30
141,32
142,30
143,33
144,31
145,32
146,33
147,32
148,33
149,28
150,30
151,30
152,29
153,31
154,31
155,33
156,30
157,30
158,28
159,32
160,30
161,30
162,26
163,31
164,34
165,28
166,26
167,29
168,31
169,28
170,32
171,34
172,30
173,31
174,33
175,34
176,30
177,32
178,32
179,28
180,30
181,29
182,29
183,31
184,29
185,28
186,29
187,29
188,30
189,33
190,33
191,27
192,28
193,30
194,27
195,31
196,27
197,29
198,32
199,29
200,30
201,32
202,30
203,33
204,38
205,32
206,35
207,31
208,28
209,28
210,27
211,30
212,34
213,28
214,30
215,27
216,33
217,30
218,31
219,27
220,27
221,32
222,30
223,29
224,31
225,29
226,32
227,30
228,31
229,29
230,32
231,29
232,30
233,28
234,28
235,33
236,29
237,28
238,34
239,31
240,29
241,30
242,31
243,27
244,31
245,30
246,33
247,30
248,32
249,29
250,29
251,32
252,31
253,29
254,31
255,27
256,27
257,30
258,27
259,30
260,32
261,33
262,30
263,30
264,29
265,27
266,28
267,28
268,31
269,29
270,29
271,31
272,35
273,27
274,34
275,30
276,30
277,28
278,31
279,32
280,29
281,30
282,31
283,25
284,27
285,29
286,30
287,27
288,34
289,28
290,32
291,30
292,29
293,27
294,28
295,31
296,28
297,29
298,26
299,28
300,31
301,26
302,28
303,35
304,29
305,31
306,36
307,28
308,33
309,33
310,31
311,29
312,33
313,31
314,31
315,30
316,29
317,31
318,29
319,30
320,27
321,32
322,28
323,31
324,30
325,29
326,31
327,29
328,29
329,33
330,26
331,31
332,30
333,29
334,29
335,34
336,29
337,28
338,29
339,31
340,27
341,29
342,31
343,29
344,30
345,27
346,29
347,28
348,28
349,36
350,31
351,32
352,28
353,27
354,29
355,29
356,30
357,30
358,32
359,32
360,33
361,29
362,32
363,31
364,32
365,32
366,31
367,27
368,31
369,30
370,32
371,36
372,33
373,31
374,32
375,31
376,37
377,28
378,29
379,29
380,28
381,29
382,32
383,31
384,31
385,29
386,31
387,26
388,31
389,29
390,28
391,30
392,28
393,30
394,31
395,31
396,33
397,28
398,32
399,30
400,28
401,28
402,28
403,33
404,30
405,29
406,28
407,30
408,29
409,27
410,29
411,32
412,33
413,29
414,27
415,28
416,29
417,34
418,31
419,29
420,28
421,32
422,31
423,28
424,29
425,34
426,33
427,31
428,30
429,26
430,31
431,33
432,28
433,30
434,29
435,32
436,29
437,33
438,29
439,29
440,28
441,33
442,29
443,31
444,31
445,32
446,32
447,32
448,31
449,26
450,31
451,33
452,32
453,31
454,30
455,33
456,35
457,27
458,28
459,28
460,29
461,36
462,32
463,32
464,30
465,27
466,29
467,31
468,28
469,26
470,30
471,29
472,35
473,32
474,29
475,29
476,31
477,29
478,34
479,30
480,32
481,28
482,30
483,31
484,30
485,36
486,28
487,28
488,30
489,29
490,28
491,30
492,29
493,28
494,31
495,31
496,32
497,32
498,31
499,28
500,29
501,31
502,31
503,30
504,32
505,32
506,29
507,26
508,30
509,27
510,28
511,26
512,31
513,31
514,32
515,30
516,31
517,28
518,30
519,27
520,27
521,27
522,29
523,27
524,29
525,29
526,27
527,29
528,27
529,32
530,29
531,35
532,33
533,28
534,28
535,34
536,29
537,31
538,29
539,35
540,29
541,32
542,31
543,33
544,27
545,34
546,28
547,29
548,33
549,31
550,26
551,32
552,31
553,27
554,32
555,31
556,30
557,28
558,26
559,30
560,27
561,31
562,31
563,29
564,27
565,30
566,32
567,28
568,35
569,29
570,28
571,30
572,32
573,30
574,28
575,28
576,27
577,30
578,28
579,29
580,28
581,35
582,28
583,28
584,31
585,29
586,29
587,26
588,31
589,32
590,33
591,30
592,30
593,33
594,28
595,31
596,33
597,32
598,28
599,29
600,33
601,28
602,29
603,30
604,29
605,28
606,31
607,28
608,30
609,31
610,30
611,32
612,27
613,29
614,27
615,29
616,27
617,29
618,36
619,30
620,29
621,34
622,28
623,29
624,26
625,28
626,28
627,33
628,34
629,29
630,28
631,32
632,29
633,32
634,32
635,31
636,34
637,33
638,32
639,29
640,28
641,32
642,34
643,28
644,31
645,30
646,28
647,32
648,28
649,33
650,33
651,31
652,33
653,30
654,29
655,29
656,30
657,27
658,30
659,29
660,32
661,32
662,35
663,33
664,29
665,32
666,26
667,29
668,29
669,30
670,29
671,36
672,27
673,28
674,30
675,32
676,32
677,30
678,30
679,32
680,28
681,29
682,34
683,29
684,28
685,28
686,34
687,27
688,30
689,35
690,28
691,29
692,31
693,28
694,30
695,28
696,28
697,31
698,28
699,30
700,28
701,31
702,29
703,31
704,27
705,36
706,32
707,32
708,30
709,30
710,30
711,33
712,29
713,33
714,31
715,31
716,29
717,33
718,28
719,28
720,34
721,28
722,26
723,30
724,26
725,30
726,33
727,33
728,36
729,29
730,30
731,29
732,33
733,32
734,33
735,29
736,34
737,31
738,30
739,32
740,31
741,29
742,29
743,32
744,30
745,29
746,28
747,27
748,31
749,27
750,33
751,28
752,27
753,28
754,28
755,32
756,32
757,29
758,29
759,31
760,28
761,28
762,27
763,31
764,29
765,31
766,30
767,29
768,30
769,36
770,32
771,31
772,31
773,27
774,31
775,29
776,29
777,30
778,29
779,32
780,32
781,32
782,28
783,32
784,31
785,32
786,31
787,29
788,29
789,31
790,32
791,28
792,29
793,27
794,31
795,27
796,30
797,29
798,31
799,30
800,29
801,30
802,28
803,29
804,29
805,27
806,31
807,28
808,30
809,33
810,33
811,30
812,28
813,29
814,33
815,34
816,30
817,30
818,29
819,28
820,31
821,32
822,33
823,30
824,32
825,27
826,31
827,28
828,29
829,26
830,30
831,29
832,27
833,32
834,28
835,29
836,31
837,31
838,34
839,27
840,30
841,28
842,32
843,33
844,32
845,30
846,28
847,28
848,31
849,27
850,30
851,30
852,32
853,31
854,29
855,28
856,26
857,25
858,29
859,29
860,32
861,30
862,27
863,32
864,36
865,30
866,28
867,32
868,31
869,33
870,29
871,28
872,30
873,29
874,28
875,27
876,31
877,29
878,26
879,29
880,29
881,31
882,32
883,30
884,36
885,30
886,28
887,28
888,31
889,28
890,30
891,31
892,27
893,32
894,29
895,30
896,28
897,31
898,27
899,29
900,34
901,30
902,29
903,35
904,27
905,27
906,28
907,30
908,31
909,31
910,34
911,31
912,30
913,30
914,27
915,30
916,31
917,33
918,28
919,31
920,29
921,32
922,34
923,29
924,28
925,32
926,27
927,33
928,27
929,30
930,28
931,27
932,27
933,32
934,28
935,33
936,30
937,29
938,29
939,27
940,27
941,29
942,27
943,29
944,31
945,34
946,30
947,29
948,30
949,30
950,30
951,29
952,33
953,30
954,31
955,32
956,27
957,30
958,28
959,30
960,30
961,30
962,29
963,28
964,35
965,30
966,28
967,33
968,33
969,31
970,31
971,28
972,30
973,27
974,33
975,26
976,31
977,29
978,30
979,30
980,30
981,26
982,27
983,27
984,34
985,31
986,30
987,28
988,30
989,33
990,30
991,31
992,27
993,29
994,33
995,30
996,30
997,26
998,29
999,27
1000,31
